Nome do Ativo;Data;Dividend Yield;Taxa Indicativa
NTN-B 760199 20350515;14/08/2020;;0,0352
NTN-B 760199 20350515;17/08/2020;;0,0352
NTN-B 760199 20350515;18/08/2020;;0,0339
NTN-B 760199 20350515;19/08/2020;;0,0346
NTN-B 760199 20350515;20/08/2020;;0,0343
NTN-B 760199 20350515;21/08/2020;;0,0342
NTN-B 760199 20350515;24/08/2020;;0,034
NTN-B 760199 20350515;25/08/2020;;0,0341
NTN-B 760199 20350515;26/08/2020;;0,0348
NTN-B 760199 20350515;27/08/2020;;0,0348
NTN-B 760199 20350515;28/08/2020;;0,0344
NTN-B 760199 20350515;31/08/2020;;0,035
NTN-B 760199 20350515;01/09/2020;;0,0346
NTN-B 760199 20350515;02/09/2020;;0,0346
NTN-B 760199 20350515;03/09/2020;;0,0343
NTN-B 760199 20350515;04/09/2020;;0,0343
NTN-B 760199 20350515;08/09/2020;;0,0347
NTN-B 760199 20350515;09/09/2020;;0,0345
NTN-B 760199 20350515;10/09/2020;;0,0353
NTN-B 760199 20350515;11/09/2020;;0,0355
NTN-B 760199 20350515;14/09/2020;;0,0353
NTN-B 760199 20350515;15/09/2020;;0,0357
NTN-B 760199 20350515;16/09/2020;;0,0359
NTN-B 760199 20350515;17/09/2020;;0,036
NTN-B 760199 20350515;18/09/2020;;0,0379
NTN-B 760199 20350515;21/09/2020;;0,0381
NTN-B 760199 20350515;22/09/2020;;0,0373
NTN-B 760199 20350515;23/09/2020;;0,0381
NTN-B 760199 20350515;24/09/2020;;0,037
NTN-B 760199 20350515;25/09/2020;;0,0372
NTN-B 760199 20350515;28/09/2020;;0,0391
NTN-B 760199 20350515;29/09/2020;;0,039
NTN-B 760199 20350515;30/09/2020;;0,0382
NTN-B 760199 20350515;01/10/2020;;0,0381
NTN-B 760199 20350515;02/10/2020;;0,0393
NTN-B 760199 20350515;05/10/2020;;0,0389
NTN-B 760199 20350515;06/10/2020;;0,0392
NTN-B 760199 20350515;07/10/2020;;0,0392
NTN-B 760199 20350515;08/10/2020;;0,0388
NTN-B 760199 20350515;09/10/2020;;0,0384
NTN-B 760199 20350515;13/10/2020;;0,0383
NTN-B 760199 20350515;14/10/2020;;0,0382
